trading_date_d,date,N_d,Delta,lag_k,mu_hat_d,sign_mu_hat_d,abs_mu_hat_d,RSD_d_k,RQ_d,VarHat_d,ST_d_k,abs_ST_d,drift_state_d,drift_label_d,drift_sign,valid_day_flag,invalid_reason,mu_hat,sigma_hat_d,estimation_n_obs_d
2021-06-30,2021-06-30,266,1.0,1,,0,,-0.008729904813637057,6.004202252433232e-06,6.004202252433232e-06,-3.562721313261613,3.562721313261613,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,2
2021-07-01,2021-07-01,279,1.0,1,,0,,-0.0029040639936208446,2.3286458227841408e-06,2.3286458227841408e-06,-1.903068683241319,1.903068683241319,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,5
2021-07-02,2021-07-02,329,1.0,1,,0,,-0.00212258900490752,8.724606953320751e-07,8.724606953320751e-07,-2.272442875468063,2.272442875468063,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,8
2021-07-06,2021-07-06,332,1.0,1,,0,,-0.003895990616675924,1.4737903420558492e-06,1.4737903420558492e-06,-3.2092241310593432,3.2092241310593432,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,11
2021-07-07,2021-07-07,311,1.0,1,,0,,-0.014071497675287915,9.99303432928359e-06,9.99303432928359e-06,-4.451348875964659,4.451348875964659,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,14
2021-07-08,2021-07-08,330,1.0,1,,0,,-0.010680031839188399,2.485502779173996e-05,2.485502779173996e-05,-2.1422266652565294,2.1422266652565294,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,17
2021-07-09,2021-07-09,294,1.0,1,,0,,-0.005583360019249999,2.982832978902442e-06,2.982832978902442e-06,-3.2328173210162503,3.2328173210162503,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,20
2021-07-12,2021-07-12,291,1.0,1,,0,,-0.001061816422109859,9.638592103707074e-07,9.638592103707074e-07,-1.0815401266820053,1.0815401266820053,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,23
2021-07-13,2021-07-13,312,1.0,1,,0,,-0.004327120361169577,3.5702616275615496e-06,3.5702616275615496e-06,-2.2900710381156695,2.2900710381156695,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,26
2021-07-14,2021-07-14,287,1.0,1,,0,,-0.01690507085492486,1.6173550637557105e-05,1.6173550637557105e-05,-4.20353152754219,4.20353152754219,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,,,29
2021-07-15,2021-07-15,325,1.0,1,-0.0039650065160587306,-1,0.0039650065160587306,-0.015992100504960242,2.7729979670634026e-05,2.7729979670634026e-05,-3.0369017016830475,3.0369017016830475,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.0039650065160587306,0.011276895371199,32
2021-07-16,2021-07-16,275,1.0,1,-0.004158309160982172,-1,0.004158309160982172,-0.0036832058419750055,1.1475109118960513e-05,1.1475109118960513e-05,-1.0872954703688253,1.0872954703688253,0,no_detectable_drift,no_detectable_drift,False,missing_timestamps;nan_or_inf_returns,-0.004158309160982172,0.010983004360786109,35
