frequency,drift_sign,grouping_scheme,group_value,horizon,count,mean_current_mu_hat,se_current_mu_hat,mean_current_sigma_hat,se_current_sigma_hat,mean_future_mu_hat,se_future_mu_hat,mean_future_sigma_hat,se_future_sigma_hat,mean_expected_cum_bps,se_expected_cum_bps,mean_realized_cum_bps,se_realized_cum_bps,mean_realized_max_up_bps,se_realized_max_up_bps,mean_realized_max_down_bps,se_realized_max_down_bps,mean_realized_max_abs_bps,se_realized_max_abs_bps
daily,detectable_downward_drift,both_above_below_high,not_both_high,1,164,-0.003909937676511312,0.00024034052499266563,0.023805946083477084,0.000755749974048825,-1.2383077409233791e-05,0.002343346671976779,0.016634892209430076,0.0011242741110060127,-38.97618399325732,2.391019937194309,7.135738385361771,17.539324060846706,90.79079015612787,10.556563679773728,-83.6550517707661,10.148661956449375,174.44584192689393,11.0111245543498
daily,detectable_downward_drift,both_above_below_high,not_both_high,2,164,-0.003909937676511312,0.00024034052499266563,0.023805946083477084,0.000755749974048825,0.008528801235366748,0.008572347697811171,0.030417803543476573,0.010882946429252294,-77.70726698030403,4.757458462711135,10.662064103762168,28.88971476794986,165.76612707318637,16.87700783591828,-159.98231474283435,17.261487975325235,313.483177160366,17.24801193510716
daily,detectable_downward_drift,both_above_below_high,not_both_high,3,164,-0.003909937676511312,0.00024034052499266563,0.023805946083477084,0.000755749974048825,0.005883915079557206,0.0055622267550318565,0.030202792891657552,0.009189972157622328,-116.19516266535092,7.099596553923549,883.625291730827,866.1707257560677,1091.4139821418628,864.4091181877891,-217.19126591403494,21.456133945681188,1277.9591650980028,863.252839559457
daily,detectable_downward_drift,both_above_below_high,not_both_high,4,164,-0.003909937676511312,0.00024034052499266563,0.023805946083477084,0.000755749974048825,0.004350606635661005,0.004112371133529165,0.029654409021959784,0.008074139593827814,-154.44176742675515,9.417711443324517,828.995943997198,799.8811981273403,1144.3279308609922,864.1734456916721,-256.47754512416765,23.817768325747377,1356.169990734122,862.8221039039719
daily,detectable_downward_drift,both_above_below_high,not_both_high,5,164,-0.003909937676511312,0.00024034052499266563,0.023805946083477084,0.000755749974048825,0.002752463754520067,0.0032939533552940577,0.030081021377364233,0.007293895218936188,-192.44896049472544,11.712076675477768,787.0128284411445,751.3699772746166,1189.6647555934069,863.9722264391905,-297.16875630600515,26.389278302723028,1423.198747340966,862.4694301839103
daily,detectable_downward_drift,both_above_below_high,not_both_high,6,164,-0.003909937676511312,0.00024034052499266563,0.023805946083477084,0.000755749974048825,0.0020862004426671207,0.0027927765703621497,0.030026845533909125,0.006698977056306417,-230.21860412699482,13.982962163028203,737.5418224124928,733.7353726915084,1226.42582355235,863.8056964642433,-350.8790468858281,31.311478938658222,1492.5940030780123,862.1644053191523
daily,detectable_downward_drift,both_above_below_high,not_both_high,7,164,-0.003909937676511312,0.00024034052499266563,0.023805946083477084,0.000755749974048825,0.002005829026619377,0.002396485772199435,0.02939725858612129,0.006222888050739336,-267.7525437824861,16.230634241787783,750.8121628728135,751.8122895384246,1265.5235620423489,863.6538651953261,-394.73104750561805,35.986139942152306,1563.9087186888069,861.8659427182351
daily,detectable_downward_drift,both_above_below_high,not_both_high,8,164,-0.003909937676511312,0.00024034052499266563,0.023805946083477084,0.000755749974048825,0.0020242872067946444,0.002107728665960703,0.0289882997814086,0.005828836566097851,-305.0526082929958,18.455355724912536,734.0842911508768,722.0867934288635,1302.552573836869,863.5064807019999,-427.0992055123535,38.35959905171392,1617.300290936451,861.6231651786718
daily,detectable_downward_drift,both_above_below_high,not_both_high,9,164,-0.003909937676511312,0.00024034052499266563,0.023805946083477084,0.000755749974048825,0.0036440936196895733,0.002620013856665635,0.034597194460471804,0.00769954709899239,-342.12061003292,20.657385956186115,765.9302334006786,731.0778033315896,1333.4012133540477,863.4244249345677,-448.550054267535,40.21175409031394,1665.7386600623122,861.4098844536995
daily,detectable_downward_drift,both_above_below_high,not_both_high,10,164,-0.003909937676511312,0.00024034052499266563,0.023805946083477084,0.000755749974048825,0.005056615761320511,0.0028094797346773955,0.039242352491366386,0.008900583768077105,-378.9583450870488,22.836980862425047,1559.173500605264,1056.611706671213,2156.5529681147236,1157.5614571688768,-486.06314510933095,42.490159851140454,2505.7766717824684,1154.5107677536148
