layer,window,volume,n_up,up_corr_p,n_down,down_corr_p
intraday,30m,total,399535,0.0033110219870950497,399535,4.2900848060961135e-105
intraday,30m,above_mid,399535,0.00013412791915234088,399535,2.340018804563002e-98
intraday,30m,at_mid,399535,0.00027003310889260693,399535,3.94862532594221e-104
intraday,30m,below_mid,399535,0.003820482715429455,399535,7.987436375686872e-95
intraday,60m,total,399506,5.405598538169794e-21,399506,2.008344584579534e-164
intraday,60m,above_mid,399506,1.4739168010509464e-26,399506,1.4320929554560611e-152
intraday,60m,at_mid,399506,0.039228121407297,399506,1.4774491069187327e-190
intraday,60m,below_mid,399506,4.270910609927446e-24,399506,1.3710912723773154e-151
daily,daily,total,1041,0.2720006796190994,1041,0.15746291260413656
daily,daily,above_mid,1041,0.2952950160773625,1041,0.1778429930196601
daily,daily,at_mid,1041,0.8524895424816805,1041,0.8555376601212185
daily,daily,below_mid,1041,0.15692286203499906,1041,0.0843909817511781
weekly,weekly,total,217,0.35068725461696715,217,0.2601721143386359
weekly,weekly,above_mid,217,0.263692205265794,217,0.19229420639772407
weekly,weekly,at_mid,217,0.6476802156768321,217,0.8235703268157578
weekly,weekly,below_mid,217,0.3115314514651431,217,0.2297403197640337
