frequency,drift_sign,grouping_scheme,group_value,horizon,count,mean_current_mu_hat,se_current_mu_hat,mean_current_sigma_hat,se_current_sigma_hat,mean_future_mu_hat,se_future_mu_hat,mean_future_sigma_hat,se_future_sigma_hat,mean_expected_cum_bps,se_expected_cum_bps,mean_realized_cum_bps,se_realized_cum_bps,mean_realized_max_up_bps,se_realized_max_up_bps,mean_realized_max_down_bps,se_realized_max_down_bps,mean_realized_max_abs_bps,se_realized_max_abs_bps
daily,drifting,both_above_below_high,not_both_high,1,343,0.0017464697674968914,0.0002926575480599858,0.021889532654102338,0.0005035907066570937,0.0003897137605807992,0.0013211357124492727,0.013609186165380512,0.0007048178695092322,17.626608032118043,2.92980650704053,8.178320361318256,10.045866415104168,74.4938395049285,6.0312902844734015,-66.31551914361025,5.971055991433849,140.80935864853873,6.5681437458938685
daily,drifting,both_above_below_high,not_both_high,2,343,0.0017464697674968914,0.0002926575480599858,0.021889532654102338,0.0005035907066570937,0.000928331162789279,0.0009501152037561222,0.0164272168193204,0.0006861553308635454,35.57785059827731,5.866381737000918,20.512836198826843,17.56560483555656,143.5951712791848,11.297429710098827,-126.97429113199061,9.870613546363128,260.14440906237036,11.488151720763058
daily,drifting,both_above_below_high,not_both_high,3,343,0.0017464697674968914,0.0002926575480599858,0.021889532654102338,0.0005035907066570937,0.0010853570716764795,0.0007587160636176877,0.018059750571513832,0.0006726079269847644,53.85497295039883,8.81018791909383,38.69457719469806,22.174284771699458,200.01010528803806,15.291958484246484,-166.90680520117138,12.038288292979555,345.07501874148323,14.865011883965813
daily,drifting,both_above_below_high,not_both_high,4,343,0.0017464697674968914,0.0002926575480599858,0.021889532654102338,0.0005035907066570937,0.001567814562613339,0.0006456665544199205,0.018913785083600206,0.0006465991153658849,72.45925320807422,11.761690336208126,54.627652907197,25.71209897814116,254.59623639377122,18.365993536645316,-199.47682805926416,13.53035031597794,419.08100063501877,17.240249582225452
daily,drifting,both_above_below_high,not_both_high,5,343,0.0017464697674968914,0.0002926575480599858,0.021889532654102338,0.0005035907066570937,0.0012169617205225387,0.0005836654537683617,0.019846004381630707,0.0006931695667532096,91.39200257717575,14.721357436107525,87.92631674445046,27.909700418609457,304.7508667711649,19.889035570858088,-231.5758524399686,15.289417723280366,484.99540597734284,18.483992762842
daily,drifting,both_above_below_high,not_both_high,6,343,0.0017464697674968914,0.0002926575480599858,0.021889532654102338,0.0005035907066570937,0.0012951701615817178,0.0005402862381762094,0.020460202075650025,0.0007135877760413735,110.65456557395183,17.68966094389283,92.17521657779619,30.30154876079678,347.09802647152213,20.88256517425582,-263.3722104921948,17.823718896265447,546.9091131366458,19.871615091325225
daily,drifting,both_above_below_high,not_both_high,7,343,0.0017464697674968914,0.0002926575480599858,0.021889532654102338,0.0005035907066570937,0.0015180938755777796,0.0005003395277678072,0.020377960485800213,0.0006725043667932942,130.24832025466281,20.6670759757627,112.4297538704295,33.79149389131992,391.03744954200147,22.13832368015071,-293.3555998507456,20.07913595834503,609.6165281074333,21.336791152814786
daily,drifting,both_above_below_high,not_both_high,8,343,0.0017464697674968914,0.0002926575480599858,0.021889532654102338,0.0005035907066570937,0.0016206621025716518,0.0004561936874493013,0.020650794281313088,0.0006573063747271518,150.17467845081356,23.654081154108457,139.42262583479263,35.50723640251989,429.9196140067294,23.032308139818166,-311.3163333413977,21.542168062204492,655.7689247002409,22.33018686543727
daily,drifting,both_above_below_high,not_both_high,9,343,0.0017464697674968914,0.0002926575480599858,0.021889532654102338,0.0005035907066570937,0.0015504002656258444,0.000444659059584933,0.021052127011950673,0.0006740873886821123,170.43508601003947,26.651158723978796,164.38427117272127,37.115220621444955,471.0542981863428,24.694262289598306,-327.81671990119685,22.5160526430966,702.540061300747,23.698665404860062
daily,drifting,both_above_below_high,not_both_high,10,343,0.0017464697674968914,0.0002926575480599858,0.021889532654102338,0.0005035907066570937,0.0014627039248273637,0.0004312768464555558,0.021078549062046602,0.0006484578677913798,191.03102304270615,29.65879467095096,181.06302088774405,41.39123803407431,518.3319607395186,27.603796125685882,-351.1528630319347,23.82204023507476,758.9905526931211,26.366955739724673
daily,drifting,exclusive_location,above_mid_only,1,6,0.0045866643716561415,0.0006370928184604751,0.023866449186836215,0.0052043869830455175,0.009138080010928936,0.008740071451527253,0.012062795505505328,0.0022496838955923548,45.982185729257445,6.399964506441194,4.027547071118742,42.52841228858958,39.57081766206719,23.469496509231643,-35.54327059094845,26.367746842008437,75.11408825301564,26.143542760190467
daily,drifting,exclusive_location,above_mid_only,2,6,0.0045866643716561415,0.0006370928184604751,0.023866449186836215,0.0052043869830455175,0.01032039973550695,0.0029906361176087596,0.016112790744894873,0.003231219670283803,92.19628737180074,12.858300509203795,133.6126919826127,106.63737734087228,178.24924948777814,88.5673454720252,-60.937516553203714,27.900466877361346,230.2437321005833,71.19586854447209
daily,drifting,exclusive_location,above_mid_only,3,6,0.0045866643716561415,0.0006370928184604751,0.023866449186836215,0.0052043869830455175,0.011390860025200995,0.006798464421302193,0.022117498119017004,0.003897404912227903,138.64355809797397,19.375458797945857,228.5741449328956,88.55101622857278,260.6903142150008,87.2783135673878,-60.937516553203714,27.900466877361346,285.825728171884,76.06906366502847
daily,drifting,exclusive_location,above_mid_only,4,6,0.0045866643716561415,0.0006370928184604751,0.023866449186836215,0.0052043869830455175,0.010264260678041759,0.004853151892149592,0.021699945618366,0.0035898240172255284,185.32525823010835,25.95189352956615,344.014565186424,182.957258454148,465.5014484066892,128.33708759991663,-109.05309446561596,41.65888797912421,505.7631082546036,104.87400334082709
daily,drifting,exclusive_location,above_mid_only,5,6,0.0045866643716561415,0.0006370928184604751,0.023866449186836215,0.0052043869830455175,0.007300868853646936,0.004530594183433399,0.020662907156334977,0.00315132263646193,232.24265528521957,32.58806225292731,421.5916754813927,195.1944305015021,500.58099882828833,141.70120060940812,-131.92857521825695,60.834074505458474,563.7181394288438,109.80345410658184
daily,drifting,exclusive_location,above_mid_only,6,6,0.0045866643716561415,0.0006370928184604751,0.023866449186836215,0.0052043869830455175,0.007573939139703267,0.003707566454832232,0.019440435664431977,0.0029571019714242698,279.39702401797,39.28442593375701,411.7865212155568,212.82197802841415,559.8894644531764,129.72842893150673,-161.6503705981953,88.41710997044768,652.7484004336702,74.74945773935097
daily,drifting,exclusive_location,above_mid_only,7,6,0.0045866643716561415,0.0006370928184604751,0.023866449186836215,0.0052043869830455175,0.006210842416727799,0.0029631066287275696,0.01927196592832038,0.0028346023484877884,326.7896464638966,46.0414489797289,460.35773326091993,225.37368177199312,603.3919846799611,134.13819999487768,-166.0391615016138,92.60230093465277,700.6397115638733,70.38703397146116
daily,drifting,exclusive_location,above_mid_only,8,6,0.0045866643716561415,0.0006370928184604751,0.023866449186836215,0.0052043869830455175,0.00539363950991593,0.002554497821945441,0.018820934274267533,0.002574857824444083,374.4218119829072,52.859599265723894,437.4978315264225,199.16940414554898,618.2465826589834,138.96205373839612,-166.0391615016138,92.60230093465277,715.4943095428956,75.45793449156291
daily,drifting,exclusive_location,above_mid_only,9,6,0.0045866643716561415,0.0006370928184604751,0.023866449186836215,0.0052043869830455175,0.005621953541549852,0.0024402263867403925,0.019080747467630717,0.0025080720929934438,422.2948173030464,59.73934815927392,461.5875213439487,198.2744246136544,662.7656020294734,140.493541736491,-166.0391615016138,92.60230093465277,760.0133289133855,66.25808172178584
daily,drifting,exclusive_location,above_mid_only,10,6,0.0045866643716561415,0.0006370928184604751,0.023866449186836215,0.0052043869830455175,0.005507944768885202,0.0022328205728776545,0.018396061987295886,0.002373960167622893,470.4099665645324,66.68117054618853,540.0576188938313,221.9564282241881,719.7434980340375,154.78000958321255,-166.0391615016138,92.60230093465277,816.9912249179497,79.9509921310446
daily,drifting,exclusive_location,below_mid_only,1,7,-0.0011043468911296275,0.0026835411850302787,0.019253305289869665,0.002182434276608176,0.03308751306996235,0.023356159413084082,0.032325039066030285,0.018845128955684458,-10.821672409443085,26.78680375575649,17.325989067439007,75.98349307612223,88.47208697559473,39.323848173694365,-71.14609790815574,46.14085244292566,159.61818488375047,39.71391920531255
daily,drifting,exclusive_location,below_mid_only,2,7,-0.0011043468911296275,0.0026835411850302787,0.019253305289869665,0.002182434276608176,0.01625766008541055,0.011350070863568155,0.031276123146859666,0.014539478421863507,-21.201114246242792,53.47776806813005,398.1795862114248,292.7004890235339,452.02379526630153,277.2815955252475,-84.3260621070525,47.46390300213447,522.6196153567126,261.9837555054145
daily,drifting,exclusive_location,below_mid_only,3,7,-0.0011043468911296275,0.0026835411850302787,0.019253305289869665,0.002182434276608176,0.00943624957846972,0.007943752419150239,0.02900212736174131,0.011903792395628138,-31.140345867240462,80.07494678820042,373.0475961409215,263.08448707288875,533.8504754278481,263.02600426587605,-125.15199195008083,69.57929637287941,631.1228831680145,239.35417736013093
daily,drifting,exclusive_location,below_mid_only,4,7,-0.0011043468911296275,0.0026835411850302787,0.019253305289869665,0.002182434276608176,0.009556508629477576,0.005907957498693653,0.027472059728878093,0.01006082508468668,-40.641356761428156,106.58037890341562,335.0954087219135,282.1671394434883,591.370344046261,260.53713160409103,-157.7091819373363,96.40864185035156,721.1999417736828,229.04242119024337
daily,drifting,exclusive_location,below_mid_only,5,7,-0.0011043468911296275,0.0026835411850302787,0.019253305289869665,0.002182434276608176,0.006898817446691171,0.005167324569393588,0.026220788050313488,0.008888384484833279,-49.70610577913523,132.99608873563776,448.0898744630511,288.23959459701655,615.3569361589974,261.83065695317015,-157.7091819373363,96.40864185035156,745.1865338864194,228.25001674869742
